"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","Opaque Sphinx Server and Clients","https://nlnet.nl/project/OpaqueSphinxServer/","https://github.com/stef/libsphinx",,"https://github.com/stef/zphinx-zerver",,,,,,,,,,,,,,,,,,
"y","Open Source DRTM implementation with TrenchBoot for AMD processors","https://nlnet.nl/project/OpenDRTM/","https://github.com/TrenchBoot/documentation","https://github.com/TrenchBoot",,,,,,,,,,,,,,,,,,,
"y","OpenPGP Certificate Authority","https://nlnet.nl/project/OpenPGP-CA/","https://gitlab.com/hkos/openpgp-ca",,"https://gitlab.com/openpgp-ca/openpgp-ca",,,,,,,,,,,,,,,,,,
"y","802.11n feature of openwifi","https://nlnet.nl/project/OpenWifi-80211n/","https://github.com/open-sdr/openwifi",,"https://github.com/open-sdr/openwifi",,,,,,,,,,,,,,,,,,
"y","PGP4civiCRM","https://nlnet.nl/project/PGP4civiCRM/","https://civicrm.org/","https://github.com/civicrm/",,,,,,,,,,,,,,,,,,,
"y","Securing PLCs via embedded Open-Source protocol adapters","https://nlnet.nl/project/PLC4X-adapters/","https://mynewt.apache.org","https://github.com/apache?q=mynewt",,,,,,,,,,,,,,,,,,,
"y","Privacy Enhancements for PowerDNS and DNSdist","https://nlnet.nl/project/PowerDNS-DNSdist/",,,"https://github.com/PowerDNS/pdns",,,,,,,,,,,,,,,,,,
"y","Qubes OS","https://nlnet.nl/project/QubesAccessible/","https://qubes-os.org","https://github.com/QubesOS",,,,,,,,,,,,,,,,,,,
"y","RISC-V Phone","https://nlnet.nl/project/RISC-V-Phone/","http://majstor.org/rvphone/",,"git://majstor.org/rvPhone.git",,,,,,,,,,,,,,,,,,
"y","RNP Confium","https://nlnet.nl/project/RNPConfium/","https://www.rnpgp.com",,"https://github.com/rnpgp/confium",,,,,,,,,,,,,,,,,,
"y","Redwax","https://nlnet.nl/project/Redwax-PKI/","https://redwax.eu/",,"https://source.redwax.eu/repos?visibility=public",,,,,,,,,,,,,,,,,,
"y","Reowolf","https://nlnet.nl/project/Reowolf/","http://reo.project.cwi.nl/v2/reowolf/api.html",,"https://scm.cwi.nl/FM/reowolf",,,,,,,,,,,,,,,,,,
"y","Replicant on Guix","https://nlnet.nl/project/Replicant-Guix/","https://guix.gnu.org","https://savannah.gnu.org/git/?group=guix",,,,,,,,,,,,,,,,,,,
"y","Graphics acceleration on Replicant","https://nlnet.nl/project/Replicant-graphics/","https://redmine.replicant.us/projects/replicant/wiki/Tasks_funding#Graphics-acceleration",,"https://git.replicant.us/replicant",,,,,,,,,,,,,,,,,,
"y","Finish porting Replicant to a newer Android version","https://nlnet.nl/project/ReplicantUpdate/","https://redmine.replicant.us/projects/replicant/wiki/Porting_Replicant_to_Android_9",,"https://git.replicant.us/replicant",,,,,,,,,,,,,,,,,,
"y","Ricochet Refresh","https://nlnet.nl/project/Rico/","https://ricochetrefresh.net",,"https://github.com/blueprint-freespeech/ricochet-refresh",,,,,,,,,,,,,,,,,,
"y","Ripple","https://nlnet.nl/project/Ripple/","https://ripple.unfathomable.blue","https://src.unfathomable.blue/",,,,,,,,,,,,,,,,,,,
"y","Robotnix","https://nlnet.nl/project/Robotnix/","https://github.com/danielfullmer/robotnix",,"https://github.com/danielfullmer/robotnix",,,,,,,,,,,,,,,,,,
"y","Robur privacy-enhanced DNS resolver and DHCP server","https://nlnet.nl/project/Robur/","https://robur.io",,"https://github.com/mirage/ocaml-dns",,,,,,,,,,,,,,,,,,
"y","Rust Threadpool","https://nlnet.nl/project/RustThreadpool/","https://github.com/rust-threadpool/rust-threadpool",,"https://github.com/rust-threadpool/rust-threadpool",,,,,,,,,,,,,,,,,,
"y","SASL XMSS","https://nlnet.nl/project/SASL-XMSS/",,"https://github.com/arpa2",,,,,,,,,,,,,,,,,,,
"y","SASL Works for the InternetWide Architecture","https://nlnet.nl/project/SASLworks/","http://internetwide.org",,"https://github.com/arpa2/draft-vanrein-httpauth-sasl",,,,,,,,,,,,,,,,,,
"y","SOLID Data Workers","https://nlnet.nl/project/SOLIDdataworkers/","https://semantic.builders",,"https://gitlab.com/solid-data-workers",,,,,,,,,,,,,,,,,,
"y","SpinalHDL, VexRiscv, SaxonSoc","https://nlnet.nl/project/SaxonSoc/","https://github.com/SpinalHDL",,"https://github.com/SpinalHDL/SpinalHDL",,,,,,,,,,,,,,,,,,
"y","SeedVault","https://nlnet.nl/project/Seedvault/","https://seedvault.app",,"https://github.com/seedvault-app/seedvault",,,,,,,,,,,,,,,,,,
"y","Solid Control","https://nlnet.nl/project/SolidControl/","https://github.com/co-operating-systems/solid-control",,"https://github.com/co-operating-systems/solid-control",,,,,,,,,,,,,,,,,,
"y","Spectrum","https://nlnet.nl/project/Spectrum/","https://spectrum-os.org","https://spectrum-os.org/git/",,,,,,,,,,,,,,,,,,,
"y","Secure User Interfaces (Spritely)","https://nlnet.nl/project/Spritely/","https://spritelyproject.org/","https://gitlab.com/spritely",,,,,,,,,,,,,,,,,,,
"y","Suhosin-NG","https://nlnet.nl/project/Suhosin-NG/","https://suhosin.org",,"https://github.com/sektioneins/suhosin",,,,,,,,,,,,,,,,,,
