"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","Software Heritage","https://nlnet.nl/project/SoftwareHeritage/","https://www.softwareheritage.org","https://forge.softwareheritage.org/diffusion/ or what?? cant find https://github.com/SoftwareHeritage/swh-search  on https://forge.softwareheritage.org/diffusion/query/all/?after=124",,,,,,,,,,,,,,,,,,,
"y","Solid Application Interoperability","https://nlnet.nl/project/Solid-Interop/","https://solid.github.io/data-interoperability-panel/specification/",,,,,,,,,,,,,,,,,,,,
"y","Solid-NextCloud app","https://nlnet.nl/project/Solid-NextCloud/","https://pdsinterop.org/solid-nextcloud/",,"https://github.com/pdsinterop/solid-nextcloud",,,,,,,,,,,,,,,,,,
"y","Solid-Search","https://nlnet.nl/project/Solid-Search/","https://ontola.io","https://github.com/ontola/",,,,,,,,,,,,,,,,,,,
"y","Sonar: a modular peer-to-peer search engine for the next-generation web","https://nlnet.nl/project/Sonar/","https://arso.xyz",,"https://github.com/arso-project/sonar",,,,,,,,,,,,,,,,,,
"y","StreetComplete","https://nlnet.nl/project/StreetComplete/","https://github.com/westnordost/StreetComplete/",,"https://github.com/westnordost/StreetComplete/",,,,,,,,,,,,,,,,,,
"y","StreetComplete","https://nlnet.nl/project/StreetComplete-Together/","https://github.com/streetcomplete/StreetComplete",,"https://github.com/streetcomplete/StreetComplete/",,,,,,,,,,,,,,,,,,
"n","Tantum Search","https://nlnet.nl/project/TantumSearch/",,,,,,,,,,,,,,,,,,,,,
"n","Transparency Toolkit","https://nlnet.nl/project/TransparencyToolkit/","https://transparencytoolkit.org",,,,,,,,,,,,,,,,,,,,
"y","URL Frontier","https://nlnet.nl/project/URLFrontier/","https://github.com/crawler-commons/url-frontier",,"https://github.com/crawler-commons/url-frontier",,,,,,,,,,,,,,,,,,
